채널,전송경로,분류,타입,페이로드필드,설명,소스
A,WS {manager}/ws/client (register),PC식별,TEXT PK,client_id,머신 UID(Windows MachineGuid / Linux machine-id). 재부팅 불변 관제 식별키,backend/app/services/monitor_client.py:268
A,WS {manager}/ws/client (register),PC식별,TEXT,name,PC 호스트명 platform.node(),backend/app/services/monitor_client.py:271
A,WS {manager}/ws/client (register),PC식별,TEXT,version,"ReplayKit 버전(현재 ""0.1.0"" 하드코딩 — 실제 배포버전 아님)",backend/app/services/monitor_client.py:272
B,WS status_update,상태,TEXT FK,client_id,머신 UID,backend/app/services/monitor_client.py:389
B,WS status_update,상태,TEXT,name,PC 호스트명,backend/app/services/monitor_client.py:390
B,WS status_update,상태,TEXT,version,버전 문자열,backend/app/services/monitor_client.py:391
B,WS status_update,상태,TIMESTAMP,timestamp,전송 시각(UTC ISO8601),backend/app/services/monitor_client.py:392
B,WS status_update,상태,TEXT,activity,playing / recording / in_use / idle (우선순위: 재생>녹화>창포커스>대기),backend/app/main.py:273
B,WS status_update,상태,TEXT,ui.mode,URL hash 게이트 normal/test/admin/stats — 사용자가 어떤 모드로 쓰는지,backend/app/main.py:202
B,WS status_update,상태,TEXT,ui.page,현재 보고 있는 탭(activeKey) — 프론트가 5초마다 보고,backend/app/main.py:203
B,WS status_update,상태,TIMESTAMP,(파생),activity 전이 구간 이력(가동률·사용시간 통계용),backend/app/services/monitor_client.py:398
B,WS status_update,로그인사용자,TEXT PK,user.user_id,Jira 계정 ID,backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,TEXT,user.name,사용자 표시 이름,backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,TEXT,user.title,직급/직책,backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,TEXT,user.team,부서/팀,backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,TEXT,user.project,디바이스 카탈로그 프로젝트(HKMC/VW 등),backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,TEXT,user.model,카탈로그 모델(ccIC27/MIB 등),backend/app/services/login_service.py:31
B,WS status_update,로그인사용자,-,user(null 포함),어느 PC 를 누가 언제 썼는지. user 키는 항상 포함(로그아웃=null),backend/app/main.py:375
B,WS status_update,디바이스,TEXT PK,devices[].device_id,등록 디바이스 ID(예: Europe_New_1),backend/app/main.py:315
B,WS status_update,디바이스,TEXT,devices[].name,ADB 가 보고한 모델명(예: AIVI2_N_FULL),backend/app/main.py:317
B,WS status_update,디바이스,TEXT,devices[].device_model,등록 시 선택한 카탈로그 모델,backend/app/main.py:318
B,WS status_update,디바이스,TEXT,devices[].module,연결 모듈명(CMD/SHELL/OCR/TH/SCAR/Frame_Check 등),backend/app/main.py:322
B,WS status_update,디바이스,TEXT,devices[].category,primary / auxiliary,backend/app/main.py:323
B,WS status_update,디바이스,TEXT,devices[].type,연결 타입(adb/ssh/serial/can 등),backend/app/main.py:324
B,WS status_update,디바이스,TEXT,devices[].status,connected / disconnected / reconnecting (정규화값),backend/app/main.py:325
B,WS status_update,디바이스,TEXT,devices[].raw_status,진단용 원시값(device/offline/unauthorized 등),backend/app/main.py:326
B,WS status_update,디바이스,BOOLEAN,devices[].test_only,#test 모드 전용 실험 모듈 여부,backend/app/main.py:328
B,WS status_update,재생상태,TEXT,playback.scenario_name,재생 중 시나리오 이름,backend/app/main.py:344
B,WS status_update,재생상태,INTEGER,playback.current_cycle,현재 사이클,backend/app/main.py:345
B,WS status_update,재생상태,INTEGER,playback.total_cycles,전체 사이클 수,backend/app/main.py:346
B,WS status_update,재생상태,INTEGER,playback.current_step,현재 스텝,backend/app/main.py:347
B,WS status_update,재생상태,INTEGER,playback.total_steps,전체 스텝 수,backend/app/main.py:348
B,WS status_update,재생상태,TEXT,playback.status,running / paused,backend/app/main.py:349
B,WS status_update,재생상태,INTEGER,playback.passed,성공 스텝 수,backend/app/main.py:350
B,WS status_update,재생상태,INTEGER,playback.failed,실패 스텝 수,backend/app/main.py:351
B,WS status_update,재생상태,INTEGER,playback.warning,경고 스텝 수,backend/app/main.py:352
B,WS status_update,재생상태,INTEGER,playback.error,오류 스텝 수,backend/app/main.py:353
